Ranking Method,Positions,Sector Rule,Regime Schedule,CAGR,Max DD,Profit Factor,Calmar,Win Rate,Trades,Avg Trade %,Avg Exposure %,>100% Wins,Max Winner %
Monthly RSI,10,Unrestricted,Regime Schedule 1 (100/70/30),32.61154241630979,-33.87489442129468,6.506726923949594,0.9627053596308566,43.20987654320987,81,46.46021466155197,74.6458820610597,12,1465.8324884313088
Monthly RSI,10,Max 2 / Sector,Fixed 100% Exposure,18.620368689856882,-43.63821455993857,3.8843478537847593,0.42669868319844234,39.42307692307692,104,27.273544054418956,76.45352766014162,13,595.1899626129455
Monthly RSI,10,Max 2 / Sector,Regime Schedule 1 (100/70/30),32.82772535379743,-29.591212275682878,7.17163796096549,1.1093741293179198,43.373493975903614,83,52.05422356805729,73.45585989293652,14,1465.8324884313088
Monthly RSI,15,Unrestricted,Fixed 100% Exposure,25.506520906536245,-37.17462667147593,5.031272273662217,0.6861271568897123,41.66666666666667,144,38.309922718315796,77.15880298299342,17,1465.8324884313088
Monthly RSI,15,Unrestricted,Regime Schedule 1 (100/70/30),29.96841388289382,-26.541732606494094,6.717719575956462,1.1291054102308793,43.859649122807014,114,46.59212703846255,73.40870522558744,16,1465.8324884313088
Monthly RSI,15,Max 2 / Sector,Fixed 100% Exposure,30.647478230234547,-35.48543746331283,5.670791889175749,0.8636635313266159,41.843971631205676,141,41.942114033809844,77.13858016746336,19,1465.8324884313088
Monthly RSI,15,Max 2 / Sector,Regime Schedule 1 (100/70/30),28.921812602177056,-31.3208444938037,5.803907610498189,0.9234046230106837,44.354838709677416,124,40.97462508166811,71.60518309237378,17,1465.8324884313088
6M Return,3,Unrestricted,Fixed 100% Exposure,17.137488176686944,-53.809189607709285,3.7423699629807365,0.3184862716131975,37.142857142857146,35,27.04965857202909,77.10043680924392,3,595.1899626129455
6M Return,3,Unrestricted,Regime Schedule 1 (100/70/30),20.662835272229984,-36.277058619690045,5.488762509935476,0.5695840858777577,44.0,25,34.56463087047573,73.3275222847171,4,266.0918054390815
6M Return,3,Max 2 / Sector,Fixed 100% Exposure,17.137488176686944,-53.809189607709285,3.7423699629807365,0.3184862716131975,37.142857142857146,35,27.04965857202909,77.10043680924392,3,595.1899626129455
6M Return,3,Max 2 / Sector,Regime Schedule 1 (100/70/30),20.662835272229984,-36.277058619690045,5.488762509935476,0.5695840858777577,44.0,25,34.56463087047573,73.3275222847171,4,266.0918054390815
6M Return,5,Unrestricted,Fixed 100% Exposure,20.700856563691605,-52.281538664770345,3.2959873212174298,0.39594964288303885,40.35087719298245,57,20.72262941728524,79.13729055593512,4,595.1899626129455
6M Return,5,Unrestricted,Regime Schedule 1 (100/70/30),21.967814813077744,-30.09754174898238,7.693265786500108,0.729887344165591,51.21951219512195,41,43.70584989745718,72.75561187558166,7,454.4246971641728
6M Return,5,Max 2 / Sector,Fixed 100% Exposure,20.16027801575433,-31.00189251200251,4.748287204115283,0.6502918493749759,44.230769230769226,52,31.9477575745246,78.82140887930778,6,595.1899626129455
6M Return,5,Max 2 / Sector,Regime Schedule 1 (100/70/30),29.020824370243027,-37.285289437467114,6.54595365909458,0.7783451545659903,46.51162790697674,43,38.74223402263102,72.83427229544738,7,454.4246971641728
6M Return,7,Unrestricted,Fixed 100% Exposure,18.71116382145239,-47.4441509202114,3.4099141593390874,0.3943829420178613,40.78947368421053,76,21.4967942344658,79.00648679231648,6,595.1899626129455
6M Return,7,Unrestricted,Regime Schedule 1 (100/70/30),22.346929122277935,-28.353809158180294,4.661815786027913,0.7881455714683285,39.34426229508197,61,31.436295308545823,72.53696760405929,9,454.4246971641728
6M Return,7,Max 2 / Sector,Fixed 100% Exposure,22.517253988730836,-48.11758856667387,3.9067053434170944,0.4679630600675246,40.54054054054054,74,26.14326348082122,78.46876911099434,9,595.1899626129455
6M Return,7,Max 2 / Sector,Regime Schedule 1 (100/70/30),25.783623874005034,-30.737962405470704,5.642411923243277,0.8388202033006618,44.06779661016949,59,34.86727432299493,72.84740751549703,10,454.4246971641728
6M Return,10,Unrestricted,Fixed 100% Exposure,21.309798998085338,-44.12960822435396,3.3590601001158675,0.4828911892837749,41.74757281553398,103,22.7953234135188,79.78160318990876,10,595.1899626129455
6M Return,10,Unrestricted,Regime Schedule 1 (100/70/30),32.96983699323381,-35.91492065803935,5.92033770508554,0.917998324628171,41.9753086419753,81,46.578848011562414,74.64094022205678,14,1465.8324884313088
6M Return,10,Max 2 / Sector,Fixed 100% Exposure,18.831926452044257,-39.66565484346549,3.2194255721535856,0.47476655878647683,40.74074074074074,108,20.58550738400731,78.40824515380895,11,595.1899626129455
6M Return,10,Max 2 / Sector,Regime Schedule 1 (100/70/30),32.20718301879444,-31.867707905527137,7.381647134466716,1.010652636652554,44.303797468354425,79,55.25523880897782,73.35669746006931,14,1465.8324884313088
