date,baseline,eviction_at_45_days,eviction_at_60_days,eviction_at_90_days
2019-05-16,10469483.97,10469483.97,10469483.97,10469483.97
2019-05-17,10521939.91,10521939.91,10521939.91,10521939.91
2019-05-20,10724946.47,10724946.47,10724946.47,10724946.47
2019-05-21,10698019.86,10698019.86,10698019.86,10698019.86
2019-05-22,10662698.27,10662698.27,10662698.27,10662698.27
2019-05-23,10759071.18,10759071.18,10759071.18,10759071.18
2019-05-24,10796335.9,10796335.9,10796335.9,10796335.9
2019-05-27,10748594.02,10748594.02,10748594.02,10748594.02
2019-05-28,10709479.89,10709479.89,10709479.89,10709479.89
2019-05-29,10763359.93,10763359.93,10763359.93,10763359.93
2019-05-30,10756331.18,10756331.18,10756331.18,10756331.18
2019-05-31,10811187.97,10811187.97,10811187.97,10811187.97
2019-06-03,10904902.64,10904902.64,10904902.64,10904902.64
2019-06-04,10841607.95,10841607.95,10841607.95,10841607.95
2019-06-06,10759699.49,10759699.49,10759699.49,10759699.49
2019-06-07,10664902.18,10664902.18,10664902.18,10664902.18
2019-06-10,10805509.02,10805509.02,10805509.02,10805509.02
2019-06-11,10793362.7,10793362.7,10793362.7,10793362.7
2019-06-12,10695514.52,10695514.52,10695514.52,10695514.52
2019-06-13,10694660.71,10694660.71,10694660.71,10694660.71
2019-06-14,10635403.3,10635403.3,10635403.3,10635403.3
2019-06-17,10556168.74,10556168.74,10556168.74,10556168.74
2019-06-18,10623547.29,10623547.29,10623547.29,10623547.29
2019-06-19,10695093.21,10695093.21,10695093.21,10695093.21
2019-06-20,10898606.01,10898606.01,10898606.01,10898606.01
2019-06-21,10908816.35,10894137.47,10908816.35,10908816.35
2019-06-24,11006722.31,10971347.21,11006722.31,11006722.31
2019-06-25,11048761.85,10994970.44,11048761.85,11048761.85
2019-06-26,11043975.21,11001016.16,11043975.21,11043975.21
2019-06-27,11106035.12,11106435.14,11106035.12,11106035.12
2019-06-28,11033707.68,11028438.55,11033707.68,11033707.68
2019-07-01,11009198.24,11019441.04,11009198.24,11009198.24
2019-07-02,11088243.18,11107361.54,11088243.18,11088243.18
2019-07-03,11144974.91,11145846.6,11144974.91,11144974.91
2019-07-04,11129810.43,11179779.97,11129810.43,11129810.43
2019-07-05,11022097.1,11084232.44,11022097.1,11022097.1
2019-07-08,10719761.1,10856031.77,10719761.1,10719761.1
2019-07-09,10788075.83,10886911.92,10788075.83,10788075.83
2019-07-10,10697634.43,10830691.34,10697634.43,10697634.43
2019-07-11,10719191.68,10753390.86,10719191.68,10719191.68
2019-07-12,10695962.5,10853176.44,10695962.5,10695962.5
2019-07-15,10700222.58,10813456.02,10700222.58,10700222.58
2019-07-16,10873132.3,10906232.22,10873132.3,10873132.3
2019-07-17,10812299.64,10864526.58,10812299.64,10812299.64
2019-07-18,10768252.38,10855125.04,10768252.38,10768252.38
2019-07-19,10641298.14,10783366.87,10641298.14,10641298.14
