date,futures_1.0x,futures_1.25x,futures_1.5x,futures_1.75x,futures_2.0x,futures_2.5x,futures_3.0x
2020-11-02,13346488.979048355,13897617.203952953,14344423.512895238,14884515.964812249,15429711.018769862,15933900.911701832,16897189.44773097
2020-11-03,13437053.425294034,14012188.621444285,14488714.38124727,15054986.106941102,15627002.048598684,16139852.225750089,17148647.33587301
2020-11-04,13600809.56267685,14217448.564328123,14711980.630820505,15315437.122176081,15924664.737458196,16556203.939354353,17651288.17121537
2020-11-05,13823178.189676424,14503544.007215641,14855428.796959609,15486698.041758798,16124895.423755141,16769781.221020317,17918012.493530765
2020-11-06,13876680.173248367,14573587.72232826,14894470.885410853,15534979.189501448,16183240.573786547,16730313.44684946,17872279.69192475
2020-11-09,13946172.584605746,14661649.49341511,14958512.242417749,15609891.577177314,16269134.809183953,16752525.868777838,17894305.659354568
2020-11-10,13392415.880827574,13963395.244140899,14149196.924151603,14658619.348633137,15173970.651026076,15168022.708062004,15956456.603474148
2020-11-11,13438747.0143505,14019411.411466518,14204826.456133207,14720540.507008273,15241352.909427656,15471583.884751834,16325686.167320106
2020-11-12,13521002.804507017,14123214.555926176,14291781.348899754,14822007.46632315,15357372.675037313,15699188.04925191,16604543.155671455
2020-11-13,13673755.13870433,14318023.64266824,14504961.582338896,15075271.017934736,15652059.268308662,15979284.029497996,16949717.16428134
2020-11-14,13731936.454620162,14391749.806532672,14596256.468165644,15183283.578383166,15777257.973109283,16102966.310925942,17101024.209634297
2020-11-17,13687118.161861487,14334646.779633703,14563626.051415704,15145077.27318217,15733472.845190242,16143721.025130507,17156029.80013819
2020-11-18,13606496.630777836,14231844.856308438,14455494.015864639,15016771.658558048,15584421.437247453,15982782.380028948,16957889.613502525
2020-11-19,13574844.7441155,14192356.12517963,14396180.123403378,14947311.841670625,15504792.862243757,15771947.105054643,16696996.575849447
2020-11-20,13798626.910117438,14476522.020214621,14726723.426232684,15338622.314694537,15958523.335267045,16274147.132951489,17313783.71830022
2020-11-23,14035139.091420654,14774659.524120029,15052551.810734574,15720992.24145519,16398085.269246118,16960837.07813262,18154053.91224469
2020-11-24,14245409.261695625,15044497.852669489,15299390.06604775,16015757.795436174,16742761.89246127,17200721.109069012,18451429.16839397
2020-11-25,13863290.777579948,14558518.943963576,14819614.97802773,15448482.601754364,16085877.432140995,16479301.071577592,17568260.085226834
2020-11-26,14027881.837792395,14767118.541015327,15088874.610108912,15767241.14581862,16455503.679460727,16750999.951389745,17896894.342194702
2020-11-27,14217199.765036292,15008574.974710219,15356599.153915433,16085351.812434651,16825679.35196948,17272418.274705224,18545285.338984173
2020-12-01,14267532.320636164,15068088.297338706,15442404.4527462,16181387.549575169,16930813.898581527,17499298.04097853,18810844.799742714
2020-12-02,14304054.797639221,15115014.976439092,15444072.24166783,16183166.629751675,16932710.25777181,17445911.6909976,18742923.062220484
2020-12-03,14315778.673530316,15128879.58121666,15433784.497503417,16169165.630396316,16914462.891141724,17542786.977633364,18860881.365711942
2020-12-04,14357820.10291292,15182335.749325745,15466914.5483485,16207982.779368762,16959058.886464495,17648806.464861736,18992273.872700687
2020-12-07,14410879.386883343,15250781.219706828,15535305.319137987,16290210.896856382,17055866.2168075,17656588.05298303,19002242.082040347
2020-12-08,14399060.826431328,15234712.013154097,15525969.411617018,16277956.709752835,17040341.18804928,17655881.281626437,18998412.319744214
2020-12-09,14423630.40782997,15264997.022943337,15523539.914594345,16273201.055247879,17032754.214036312,17678062.3084186,19021194.31897357
2020-12-10,14405485.21287931,15242757.155259416,15552775.920916673,16309973.606967494,17077870.12053001,17725141.69479447,19085986.503869317
2020-12-11,14299301.883593375,15109081.474000338,15415046.781999877,16148866.617258249,16893305.362204842,17472994.36127496,18780846.85104446
2020-12-14,14280211.886232955,15084755.668063777,15364316.16602679,16088327.295182081,16822613.087040715,17408775.66369099,18701269.042264573
2020-12-15,14288032.983417561,15093163.881464353,15420977.87338663,16154288.810948227,16897870.11626862,17464381.056273002,18765146.42841635
2020-12-16,14461949.350653,15314446.983431183,15629022.710179288,16400268.619187262,17182760.039840225,17785708.45044809,19159240.455824405
2020-12-17,14459438.962680448,15311776.99153189,15534556.006883346,16287455.529008664,17050895.792389963,17649161.87475325,18989053.93778842
2020-12-18,14511641.412450716,15373913.937755123,15591406.373771884,16348929.444495078,17115629.28873004,17915512.846912287,19305329.340422586
2020-12-21,14126731.005914696,14885071.19027018,15135497.670691565,15811306.937447898,16494687.883268613,17319982.0557789,18584315.18247764
2020-12-22,14315169.39336859,15125508.19908474,15375806.331598205,16096642.730269954,16826528.746336155,17529122.177528225,18838105.133872334
2020-12-23,14509250.127292402,15378023.89609249,15620675.791184187,16393747.597336294,17179180.442970783,17806058.202915862,19196791.233631235
2020-12-24,14610878.575058952,15507006.110898413,15803118.876987284,16610270.87697487,17430868.83391843,18020043.04505434,19458914.54913558
2020-12-28,14718619.494201075,15644907.300951973,15962024.690867953,16799820.518537097,17652275.89784286,18337762.82034055,19856401.665124573
2020-12-29,14726726.347041357,15654903.528352883,15984343.846249137,16826086.05879233,17682590.885095924,18354417.804836705,19875905.63280261
2020-12-30,14679354.790545583,15593250.90471673,15892761.937781872,16715358.45082895,17551656.74541697,18152919.44151754,19619351.01213065
2020-12-31,14785499.030447446,15727907.591919508,16029237.294979457,16876407.61515973,17737843.870507535,18276050.443320647,19765961.70439229
2021-01-01,14911140.67035975,15889472.10749716,16176039.82952112,17052132.379109308,17943791.116909273,18576007.021397088,20143221.75615925
2021-01-04,14941941.337336043,15929175.42033808,16222984.736403633,17108557.023705587,18010210.788648345,18606776.07640071,20182269.140666846
2021-01-05,14960221.129576162,15952593.322743349,16248511.379110914,17139069.056218673,18045961.424189936,18627489.97620039,20208171.158777982
2021-01-06,14848932.859827146,15809098.341467086,16068759.522363422,16923173.8685577,17792191.605174936,18475832.954431243,20017372.719627097
2021-01-07,14779391.616464356,15722998.275508977,15963167.124803398,16801059.342609674,17653897.87871647,18281094.451326415,19785874.196055118
2021-01-08,14939970.792694598,15926475.14972084,16108491.720803509,16970821.690792322,17848193.25409885,18612020.418728396,20189693.18487916
2021-01-11,14922016.802307982,15905064.826462027,16082796.231203696,16942306.961741094,17817327.6283568,18575946.30004453,20151660.786336944
2021-01-12,14951146.467480391,15944479.443133418,16130345.9731576,17001926.99519835,17890251.976084083,18446386.020460032,19995233.95412606
2021-01-13,14844981.151700865,15810244.611720314,15928719.418738086,16763196.455813548,17613449.953869253,18245491.27601248,19752633.893663526
2021-01-14,14872067.43720423,15842438.983317668,15980741.371346038,16822166.22583004,17678920.6425025,18279025.602117572,19784368.468727857
2021-01-15,14667489.765172496,15583452.70030663,15741492.76855567,16541236.404745294,17355838.145969786,17835991.780527927,19244551.829569627
2021-01-18,14503679.40256483,15375017.6347402,15533853.866644839,16295602.732025653,17071295.415867306,17362441.56633359,18657867.567733623
2021-01-19,14614433.619243171,15516449.173607804,15662243.839912131,16447993.632356267,17248463.277747303,17547874.2081955,18886530.280517235
2021-01-20,14542844.016845103,15424848.681482762,15531895.337788546,16292331.889997162,17066485.2775129,17675234.402873017,19051401.03942065
2021-01-21,14432746.057093356,15285207.032055676,15409028.396842048,16147893.871232353,16900201.45009655,17517535.464597285,18862159.12128146
2021-01-22,14196144.717131987,14982035.771083888,15219440.885447767,15922942.168423804,16638848.081193164,17217680.846846413,18492137.29549475
2021-01-25,14112821.264145728,14876081.204097401,15099830.955823343,15781263.013253313,16474526.088003322,17015428.955244757,18242908.610249937
2021-01-27,13894172.18498639,14599729.132922731,14778071.490169672,15402129.942985177,16036977.729227792,16684761.890454724,17848481.538069382
2021-01-28,13692275.497740466,14343329.62896246,14461959.930463508,15027626.501266312,15602502.936182842,16173576.89581944,17219081.769357372
2021-01-29,13594618.902037233,14223659.67888749,14312867.33577247,14856811.733196456,15410911.52922776,15787987.98985602,16757133.510178357
2021-02-01,13691589.2545979,14347382.295000628,14404858.799433952,14965565.343793841,15536881.267262183,16057657.93924061,17093139.479007043
2021-02-02,13897748.146700203,14613010.079282485,14805539.490274083,15445970.2248637,16101000.735581743,16788278.62410538,18011309.48505183
2021-02-03,14081204.68129586,14844673.53818094,15051808.124350263,15735787.3247828,16435188.938442,17139010.104833126,18435546.047259755
2021-02-04,14268773.343010116,15086417.867873726,15366567.768474707,16114422.622665048,16881057.850954436,17465916.006976582,18849098.448499672
2021-02-05,14283408.503864184,15100363.444257379,15432073.764991878,16186481.36499312,16958468.03420911,17622396.699736975,19026869.340530127
2021-02-08,14329447.62335021,15160132.166654486,15487862.510476613,16254162.416884568,17038826.167537525,17788440.055045284,19238709.774698056
2021-02-09,14298388.813859103,15121886.23801018,15465369.024285141,16229300.174871396,17012001.484896164,17650666.901387196,19071255.079818718
2021-02-10,14252093.02845415,15060867.942710105,15480198.945634333,16246763.86339499,17032216.625138443,17765261.933219265,19215013.126402233
2021-02-11,14329758.547769839,15160647.764348889,15465806.658355149,16228361.0359554,17009287.456276625,17736671.625612106,19176199.96417836
2021-02-12,14243576.614987258,15050832.213231394,15317238.887231369,16051181.447423998,16802391.691198617,17539502.079080015,18931555.692357734
2021-02-15,14278805.958900355,15097786.665275397,15481494.280137822,16251460.700456794,17041352.894840427,17945681.1703182,19453098.644249782
2021-02-16,14414901.376542566,15274395.199952746,15569706.742272519,16358309.168740056,17167972.43306327,17852239.275468238,19337511.60672582
2021-02-17,14425574.177634377,15289709.008033298,15618404.818000428,16419092.5991881,17241893.614918713,17934395.26193808,19448724.04039919
2021-02-18,14282057.190541008,15104673.780964525,15395088.780179994,16151285.924852666,16927506.84474894,17535723.67368767,18947012.461468827
2021-02-19,14029483.265655573,14779656.002671592,15070651.603245642,15762692.574692052,16471868.872808114,17186542.294319626,18510322.20140226
